"","rec","Part","Task","RT","Acc","Cond"
"332",332,2,"Posner","0.439800000190758",1,"valid"
"333",333,2,"Posner","0.551300000190736",1,"valid"
"334",334,2,"Posner","0.594599999904631",1,"valid"
"335",335,2,"Posner","0.474699999809218",1,"invalid"
"336",336,2,"Posner","0.427800000190814",1,"neutral"
"337",337,2,"Posner","0.472699999809265",1,"neutral"
"338",338,2,"Posner","0.711600000381509",1,"neutral"
"339",339,2,"Posner","0.426900000095429",1,"valid"
"340",340,2,"Posner","0.70369999980926",1,"valid"
"341",341,2,"Posner","0.546700000286137",1,"valid"
"342",342,2,"Posner","0.491799999713862",1,"invalid"
"343",343,2,"Posner","0.614699999809204",1,"invalid"
"344",344,2,"Posner","0.452800000190678",1,"valid"
"345",345,2,"Posner","0.493200000286151",1,"valid"
"346",346,2,"Posner","0.522300000190739",1,"neutral"
"347",347,2,"Posner","0.454399999618545",1,"invalid"
"348",348,2,"Posner","0.524099999904706",1,"neutral"
"349",349,2,"Posner","0.385600000381487",1,"valid"
"350",350,2,"Posner","0.399799999713878",1,"valid"
"351",351,2,"Posner","0.400499999999965",1,"invalid"
"352",352,2,"Posner","0.416299999713942",1,"valid"
"353",353,2,"Posner","0.751700000286064",1,"invalid"
"354",354,2,"Posner","0.45520000028614",1,"neutral"
"355",355,2,"Posner","0.365499999999997",1,"valid"
"356",356,2,"Posner","0.416599999904633",1,"valid"
"357",357,2,"Posner","0.293999999999983",1,"valid"
"358",358,2,"Posner","0.445800000190729",1,"invalid"
"359",359,2,"Posner","0.503700000286017",1,"valid"
"360",360,2,"Posner","0.425300000190759",1,"neutral"
"361",361,2,"Posner","0.857100000381479",1,"valid"
"362",362,2,"Posner","0.333800000190763",1,"valid"
"363",363,2,"Posner","0.653099999904612",1,"neutral"
"364",364,2,"Posner","0.469900000095322",1,"invalid"
"365",365,2,"Posner","0.41759999990461",1,"invalid"
"366",366,2,"Posner","0.33299999999997",1,"valid"
"367",367,2,"Posner","0.421199999809232",1,"neutral"
"368",368,2,"Posner","0.349300000190738",1,"valid"
"369",369,2,"Posner","0.386699999809252",1,"neutral"
"370",370,2,"Posner","0.351199999809296",1,"valid"
"371",371,2,"Posner","0.264999999999986",1,"valid"
"372",372,2,"Posner","0.487799999713843",1,"invalid"
"373",373,2,"Posner","0.335400000095319",1,"valid"
"374",374,2,"Posner","0.550999999999931",1,"invalid"
"375",375,2,"Posner","0.378800000190722",1,"valid"
"376",376,2,"Posner","0.44779999971388",1,"neutral"
"377",377,2,"Posner","0.308300000190798",1,"valid"
"378",378,2,"Posner","0.700600000381428",1,"invalid"
"379",379,2,"Posner","0.387799999713934",1,"neutral"
"380",380,2,"Posner","0.497000000000071",1,"invalid"
"381",381,2,"Posner","0.330500000000029",1,"valid"
"382",382,2,"Posner","0.323499999999967",1,"valid"
"383",383,2,"Posner","0.379200000286119",1,"neutral"
"384",384,2,"Posner","0.362500000000068",1,"valid"
"385",385,2,"Posner","0.546099999904641",1,"invalid"
"386",386,2,"Posner","0.404499999999985",1,"valid"
"387",387,2,"Posner","0.481099999904586",1,"valid"
"388",388,2,"Posner","0.432700000286104",1,"invalid"
"389",389,2,"Posner","0.471599999904583",1,"valid"
"390",390,2,"Posner","0.414099999904579",1,"neutral"
"391",391,2,"Posner","0.714099999904647",1,"valid"
"392",392,2,"Posner","0.446199999809323",1,"neutral"
"393",393,2,"Posner","0.383599999904618",1,"valid"
"394",394,2,"Posner","0.430900000095335",1,"neutral"
"395",395,2,"Posner","0.395900000095367",1,"valid"
"396",396,2,"Posner","0.29989999961856",0,"invalid"
"397",397,2,"Posner","0.789999999999964",1,"invalid"
"398",398,2,"Posner","0.400400000095374",1,"neutral"
"399",399,2,"Posner","0.462299999713878",1,"valid"
"400",400,2,"Posner","0.455099999904746",1,"valid"
"401",401,2,"Posner","0.317699999809292",1,"valid"
